doc_id	title	author_id	first_name	surname_prefix	surname	full_name	birth_year	death_year	year_of_publication
kist001leve01	Het leven, gevoelens en zonderlinge reize van den landjonker Govert Hendrik Godefroi van Blankenheim tot den Stronk (2 delen)	kist001	Willem		Kist	Kist, Willem	1758.0	1841.0	1800
stre001char01	Charakters en lotgevallen van Adelson, Héloïse en Elius	stre001	Naatje	van	Streek-Brinkman	Streek-Brinkman, Naatje van	1760.0	1828.0	1804
daal002will01	Willem Hups. Eene anecdote uit de XVII eeuw; ongelooflijk zelfs in de onze	daal002	Bruno		Daalberg	Daalberg, Bruno	1758.0	1818.0	1805
bodd002leve01	Levensgeschiedenis van den vermaarden dichter	bodd002	Pieter		Boddaert jr.	Boddaert jr., Pieter	1766.0	1805.0	1805
loos005hist01	Historie van Mejuffrouw Susanna Bronkhorst. Deel 1	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1806
loos005hist02	Historie van Mejuffrouw Susanna Bronkhorst. Deel 2	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1806
loos005hist03	Historie van Mejuffrouw Susanna Bronkhorst. Deel 3	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1806
loos005hist04	Historie van Mejuffrouw Susanna Bronkhorst. Deel 4	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1807
loos005hist05	Historie van Mejuffrouw Susanna Bronkhorst. Deel 5	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1807
loos005hist06	Historie van Mejuffrouw Susanna Bronkhorst. Deel 6	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1807
loos005leve01	Het leven van Maurits Lijnslager	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1808
ansl002brav01	De brave Hendrik	ansl002	Nicolaas		Anslijn Nz.	Anslijn Nz., Nicolaas	1777.0	1838.0	1810
ansl002brav02	De brave Maria	ansl002	Nicolaas		Anslijn Nz.	Anslijn Nz., Nicolaas	1777.0	1838.0	1811
moen006caro01	Carolina van Eldenberg. Eerste deel	moen006	Petronella		Moens	Moens, Petronella	1762.0	1843.0	1811
moen006caro02	Carolina van Eldenberg. Tweede deel	moen006	Petronella		Moens	Moens, Petronella	1762.0	1843.0	1812
moen006caro03	Carolina van Eldenberg. Derde deel	moen006	Petronella		Moens	Moens, Petronella	1762.0	1843.0	1812
loos005leve02	Het leven van Hillegonda Buisman	loos005	Adriaan		Loosjes	Loosjes, Adriaan	1761.0	1818.0	1814
moen006dank01	De dankbare Willem, of Het huisgezin van den heer Lausbach	moen006	Petronella		Moens	Moens, Petronella	1762.0	1843.0	1815
