ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose	reprint_id	orig_jaar	best_jaar	Naam	Volledige voornaam	Personalia	active_start	active_end	dob_string	dob_location	dob_day	dob_month	dob_year	dob_century	dod_string	dod_location	dod_day	dod_month	dod_year	dod_century
kist001leve01	Het leven, gevoelens en zonderlinge reize van den landjonker Govert Hendrik Godefroi van Blankenheim tot den Stronk (2 delen)	1800	1ste druk	werk	Willem		Kist		Haarlem	nl	proza	kist001leve01_01	https://www.dbnl.org/tekst/kist001leve01_01	kist001	1800	1800	exact	1800	1800	False	False	False	True			1800	Kist, Willem		(Woerden 1 september 1758 - Arnhem 5 januari 1841)	1800	1800	Woerden 1 september 1758	Woerden	1.0	9.0	1758.0	18.0	Arnhem 5 januari 1841	Arnhem	5.0	1.0	1841.0	19.0
stre001char01	Charakters en lotgevallen van Adelson, Héloïse en Elius	1804	1ste druk	werk	Naatje	van	Streek-Brinkman	Gerbrand Roos	Amsterdam	nl	proza	stre001char01_01	https://www.dbnl.org/tekst/stre001char01_01	stre001	1804	1804	exact	1800	1800	False	False	False	True			1804	Streek-Brinkman, Naatje van	[Anna Catharina]	(Amsterdam 21 oktober (gedoopt) 1760 - Den Haag 4 juli 1828)	1804	1804	Amsterdam 21 oktober (gedoopt) 1760	Amsterdam 21 oktober (gedoopt)			1760.0	18.0	Den Haag 4 juli 1828	Den Haag	4.0	7.0	1828.0	19.0
daal002will01	Willem Hups. Eene anecdote uit de XVII eeuw; ongelooflijk zelfs in de onze	1805	1ste druk	werk	Bruno		Daalberg	J. Immerzeel Jr.	Den Hage	nl	proza	daal002will01_01	https://www.dbnl.org/tekst/daal002will01_01	daal002	1805	1805	exact	1800	1800	False	False	False	True			1805	Daalberg, Bruno	[Baron Petrus de Wakker van Son]	(Amsterdam 9 augustus 1758 - Den Haag 8 december 1818)	1805	1817	Amsterdam 9 augustus 1758	Amsterdam	9.0	8.0	1758.0	18.0	Den Haag 8 december 1818	Den Haag	8.0	12.0	1818.0	19.0
bodd002leve01	Levensgeschiedenis van den vermaarden dichter	1805	1ste druk	uitgave	Pieter		Boddaert jr.			nl	proza	bodd002leve01_01	https://www.dbnl.org/tekst/bodd002leve01_01	bodd002	1805	1805	exact	1800	1800	False	False	False	True			1805	Boddaert jr., Pieter		(Utrecht oktober 1766 - Amsterdam 8 maart 1805)	1805	1805	Utrecht oktober 1766	Utrecht		10.0	1766.0	18.0	Amsterdam 8 maart 1805	Amsterdam	8.0	3.0	1805.0	19.0
loos005hist01	Historie van Mejuffrouw Susanna Bronkhorst. Deel 1	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist01_01	https://www.dbnl.org/tekst/loos005hist01_01	loos005	1806	1806	exact	1800	1800	False	False	False	True			1806	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
loos005hist02	Historie van Mejuffrouw Susanna Bronkhorst. Deel 2	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist02_01	https://www.dbnl.org/tekst/loos005hist02_01	loos005	1806	1806	exact	1800	1800	False	False	False	True			1806	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
loos005hist03	Historie van Mejuffrouw Susanna Bronkhorst. Deel 3	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist03_01	https://www.dbnl.org/tekst/loos005hist03_01	loos005	1806	1806	exact	1800	1800	False	False	False	True			1806	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
loos005hist04	Historie van Mejuffrouw Susanna Bronkhorst. Deel 4	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist04_01	https://www.dbnl.org/tekst/loos005hist04_01	loos005	1807	1807	exact	1800	1800	False	False	False	True			1807	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
loos005hist05	Historie van Mejuffrouw Susanna Bronkhorst. Deel 5	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist05_01	https://www.dbnl.org/tekst/loos005hist05_01	loos005	1807	1807	exact	1800	1800	False	False	False	True			1807	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
loos005hist06	Historie van Mejuffrouw Susanna Bronkhorst. Deel 6	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist06_01	https://www.dbnl.org/tekst/loos005hist06_01	loos005	1807	1807	exact	1800	1800	False	False	False	True			1807	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
